text,labels,confidence,source,iab_label
pet scans offer new hope brain injury,,0.44,natural,IAB16 Pets
"- Alexander the Great, who kept a number of elephants as pets and used them in his military campaigns.",,0.44,synthetic,IAB16 Pets
watch dogs pc ultra vs low settings,,0.44,natural,IAB16 Pets
tupacs final words revealed police officer scene murder,,0.44,natural,IAB16 Pets
peanuts first teaser trailer released watch,,0.44,natural,IAB16 Pets
pfizers astrazeneca bid miliband wants national interest probe,,0.44,natural,IAB16 Pets
pitt slams celebrity pest,,0.44,natural,IAB16 Pets
get watch dogs free mp412 code,,0.44,natural,IAB16 Pets
wall street sea red pfizer mannkind shed,,0.44,natural,IAB16 Pets
golds rebound peter second half growth recovery reuters poll,,0.44,natural,IAB16 Pets
pfizer still hunt,,0.44,natural,IAB16 Pets
miley cyrus emotional reveals dog floyd died,,0.44,natural,IAB16 Pets
frostie baby goat uses wheelchair,,0.44,natural,IAB16 Pets
parsing pfizers deal talk isnt exercise tell astrazenecas future,,0.44,natural,IAB16 Pets
astrazeneca rejects pfizers final bid,,0.44,natural,IAB16 Pets
astrazeneca rejects pfizers final us117b bid,,0.44,natural,IAB16 Pets
pew digital news growing making losses,,0.43,natural,IAB16 Pets
ebola deaths guinea pass 100,,0.43,natural,IAB16 Pets
become google pokemon master,,0.43,natural,IAB16 Pets
miley cyrus upset dogs death making sick,,0.43,natural,IAB16 Pets
pokémon invade google maps april fools,,0.43,natural,IAB16 Pets
watch dogs first impressions,,0.43,natural,IAB16 Pets
epas coal ash rule still done,,0.43,natural,IAB16 Pets
pfizer shouldnt put away checkbook,,0.43,natural,IAB16 Pets
watch dogs review,,0.43,natural,IAB16 Pets
phoenix home destoyed dog killed fire,,0.43,natural,IAB16 Pets
petco removes tainted pet jerky treats shelves,,0.43,natural,IAB16 Pets
catch pokemon phone using google maps,,0.43,natural,IAB16 Pets
miley cyrus mixed feelings new puppy death dog floyd,,0.43,natural,IAB16 Pets
whiting pete agrees buy kodiak oil gas,,0.43,natural,IAB16 Pets
pet treats overseas become outlawed,,0.43,natural,IAB16 Pets
pew poll drones bad reputation,,0.42,natural,IAB16 Pets
pfizers move astrazeneca rebuffed,,0.42,natural,IAB16 Pets
miley cyrus gets new puppy dog floyds death,,0.42,natural,IAB16 Pets
ukrainian president petro poroshenko convenes national security defense,,0.42,natural,IAB16 Pets
epa joins irs lost emails club,,0.42,natural,IAB16 Pets
celebrate peter parkers return exclusive digital amazing spiderman 1,,0.42,natural,IAB16 Pets
pete mcmartin dear seth rogen north korea requests annihilation,,0.42,natural,IAB16 Pets
okcupid turns users lovelorn guinea pigs,,0.42,natural,IAB16 Pets
alert petco pulls jerky treats made china,,0.42,natural,IAB16 Pets
peta murgatroyd says brooke burke replaced dancing,,0.42,natural,IAB16 Pets
provo ranked 1 wellbeing gallup poll,,0.42,natural,IAB16 Pets
pythons reunion flying start o2,,0.42,natural,IAB16 Pets
jupiters red spot shrinking,,0.41,natural,IAB16 Pets
nestle aereo teva pfizer momenta intellectual property 1,,0.41,natural,IAB16 Pets
nvidia might hurt experience watch dogs,,0.41,natural,IAB16 Pets
therapy dog helps troops deal postwar stress,,0.41,natural,IAB16 Pets
muppets muffed wanted,,0.41,natural,IAB16 Pets
pfizers bid astrazeneca causes political storm,,0.41,natural,IAB16 Pets
monty python reunion looks bright side mostly,,0.41,natural,IAB16 Pets
pfizers 69bn takeover bid astrazeneca,,0.41,natural,IAB16 Pets
petco stop selling treats made china pet deaths reported,,0.41,natural,IAB16 Pets
pfizers pledge astrazeneca jobs,,0.41,natural,IAB16 Pets
1000 dog deaths linked china jerky treats,,0.41,natural,IAB16 Pets
animal house meets hangover neighbors,,0.41,natural,IAB16 Pets
ace frehley peter criss respond accusations antisemitism paul,,0.41,natural,IAB16 Pets
mysterious fever worries doctors guinea,,0.41,natural,IAB16 Pets
pfizer unrealistic sales goals rundquist,,0.4,natural,IAB16 Pets
pitman students michael jackson performance goes viral,,0.4,natural,IAB16 Pets
therapy dog helps troops deal posttraumatic stress,,0.4,natural,IAB16 Pets
40 vets died waiting care phoenix va,,0.4,natural,IAB16 Pets
mad men recap strange family peggy pete built,,0.4,natural,IAB16 Pets
mtv movie awards gif guide pecs puppies peeta,,0.4,natural,IAB16 Pets
film interview hugh jackman talks xmen days future past plus peter,,0.4,natural,IAB16 Pets
response hello kitty cat peanuts confirms snoopy dog,,0.4,natural,IAB16 Pets
hacker hero video game watch dogs let loose,,0.4,natural,IAB16 Pets
check 60 hidden memes watch dogs gallery,,0.4,natural,IAB16 Pets
plants listening,,0.4,natural,IAB16 Pets
retired cop says tupacs last words fk,,0.4,natural,IAB16 Pets
filled shadowy corporations hacking gunplay watch dogs live,,0.4,natural,IAB16 Pets
pfizer ditches pursuit astrazeneca,,0.4,natural,IAB16 Pets
pfizer underscores uk commitments memo,,0.4,natural,IAB16 Pets
pfizers bid may invited uks tax policy,,0.4,natural,IAB16 Pets
pfizer longer bids astrazeneca,,0.4,natural,IAB16 Pets
miley cyrus miley cyrus gets tattoo late dog,,0.39,natural,IAB16 Pets
multistate salmonella outbreak linked pet bearded dragons,,0.39,natural,IAB16 Pets
watch dogs epic lacks heart,,0.39,natural,IAB16 Pets
pfizer committed astrazeneca britain,,0.39,natural,IAB16 Pets
muppets wanted worth catching,,0.39,natural,IAB16 Pets
hedge fund wants teach petsmart new tricks,,0.39,natural,IAB16 Pets
candy crushs ipo gets crushed,,0.39,natural,IAB16 Pets
miley cyrus suffering exhaustion grief following death dog,,0.39,natural,IAB16 Pets
"In the 20th century, the popularity of reptiles as pets exploded, with the development of new technologies that made it easier to care for them.",,0.39,synthetic,IAB16 Pets
pinup photographer bunny yeager dies,,0.39,natural,IAB16 Pets
petr poroshenko scoring 54 votes ukraines presidential polls,,0.39,natural,IAB16 Pets
review muppets wanted u,,0.39,natural,IAB16 Pets
pfizer signals open hostile option astrazeneca,,0.39,natural,IAB16 Pets
cat lovers smart way feed beloved pets,,0.39,natural,IAB16 Pets
hunt watch dogs deal fix,,0.39,natural,IAB16 Pets
poz rsd preview must vinyl grabs,,0.39,natural,IAB16 Pets
"The history of large animals as pets dates back to ancient times, with evidence of humans keeping elephants, lions, and tigers as companions.",,0.39,synthetic,IAB16 Pets
peter terium ceo rwe energy transition interview,,0.39,natural,IAB16 Pets
"The most popular types of pet reptiles include snakes, lizards, and turtles, each with their own unique characteristics and care needs.",,0.39,synthetic,IAB16 Pets
fda updates jerky pet treat investigation,,0.39,natural,IAB16 Pets
rainbow flag flies st pete city hall,,0.39,natural,IAB16 Pets
29 dead viral hemorrhagic fever guinea,,0.38,natural,IAB16 Pets
ebola facing fear save lives guinea,,0.38,natural,IAB16 Pets
miley cyrus gives dog moonie away says soon floyds death,,0.38,natural,IAB16 Pets
one last silly walk reunion monty python,,0.38,natural,IAB16 Pets
"The history of reptiles as pets dates back centuries, with people keeping them for various reasons, including companionship, pest control, and even religious purposes.",,0.38,synthetic,IAB16 Pets
lees review muppets wanted,,0.38,natural,IAB16 Pets
miley cyrus gives new dog soon,,0.38,natural,IAB16 Pets
pfizer bid twice astrazeneca,,0.38,natural,IAB16 Pets
emma watson enlists services fluffy pet rabbit premiere noah,,0.38,natural,IAB16 Pets
petronas ceo warns bc unrealistic expectations lng,,0.38,natural,IAB16 Pets
google announces challenge potential pokemon masters,,0.38,natural,IAB16 Pets
peter andre enjoys beer questioning fifty shades leading man,,0.38,natural,IAB16 Pets
therapy dog lexy helps patients fort bragg keeps coming back,,0.38,natural,IAB16 Pets
miley cyrus gets tattoo dead dog floyd,,0.38,natural,IAB16 Pets
"Their unique personalities, playful nature, and affectionate companionship make them beloved pets.",,0.38,synthetic,IAB16 Pets
dogs smell early detection prostate cancer study finds,,0.38,natural,IAB16 Pets
peter mayhew peter mayhew returning star wars,,0.38,natural,IAB16 Pets
"In the 19th century, cats became popular pets in Victorian households, symbolizing elegance and refinement.",,0.38,synthetic,IAB16 Pets
hello kitty actually girl cat,,0.38,natural,IAB16 Pets
know floridas biggest lgbt pride st petersburg,,0.38,natural,IAB16 Pets
muppets wanted,,0.38,natural,IAB16 Pets
last wish giraffe kisses dying caretaker,,0.38,natural,IAB16 Pets
The future of large animals as pets is uncertain.,,0.38,synthetic,IAB16 Pets
pfizer growing political pressure us britain,,0.38,natural,IAB16 Pets
could sam cat coming end,,0.38,natural,IAB16 Pets
two major pet store chains phasing dog treats china,,0.38,natural,IAB16 Pets
dog gone miley cyrus gives away new puppy,,0.38,natural,IAB16 Pets
therapy dogs help returning troops deal postwar stress,,0.38,natural,IAB16 Pets
hemorrhagic fever outbreak reported guinea,,0.38,natural,IAB16 Pets
paltrows break amid conscious uncoupling,,0.37,natural,IAB16 Pets
pfizers promises protect jobs meaningless says labour,,0.37,natural,IAB16 Pets
driving pfizers pursuit astrazeneca,,0.37,natural,IAB16 Pets
heartbleed dos dont change pws yet,,0.37,natural,IAB16 Pets
parrots bebop drone features virtual reality oculus skycontroller,,0.37,natural,IAB16 Pets
mps want additional limitations sunbeds,,0.37,natural,IAB16 Pets
peter pan live casts girls star lead,,0.37,natural,IAB16 Pets
pitbull jennifer lopez cláudia leitte one ole ola new music,,0.37,natural,IAB16 Pets
fda investigating tainted pet treats linked 1000 deaths,,0.37,natural,IAB16 Pets
paltrows conscious uncoupling confounds many,,0.37,natural,IAB16 Pets
pistorius suffering mental illness psychiatrists,,0.37,natural,IAB16 Pets
clooney loved pig much didnt need kids,,0.37,natural,IAB16 Pets
moroccan poufs,,0.37,synthetic,IAB16 Pets
"Despite these controversies, reptiles continue to grow in popularity as pets, and they are likely to remain popular for many years to come.",,0.37,synthetic,IAB16 Pets
potter fans see future,,0.37,natural,IAB16 Pets
pfizer drops pursuit astrazeneca,,0.36,natural,IAB16 Pets
pf changs investigates data breach,,0.36,natural,IAB16 Pets
cat litter linked radiation leak nuclear waste dump new mexico,,0.36,natural,IAB16 Pets
nick carter marries lauren kitt younger brother aaron doesnt make,,0.36,natural,IAB16 Pets
harbinger offers 750m cash central garden pet,,0.36,natural,IAB16 Pets
alexander mccall smith meets meerkats,,0.36,natural,IAB16 Pets
One of the most controversial issues surrounding reptiles as pets is the trade in wild-caught animals.,,0.36,synthetic,IAB16 Pets
watch dogs ps4 review progress,,0.36,natural,IAB16 Pets
miley cyrus gives away new pet,,0.36,natural,IAB16 Pets
pythons greatest hits delight fans,,0.36,natural,IAB16 Pets
apodaca gift mom really wants time,,0.36,natural,IAB16 Pets
japanese stone carved lion dogs,,0.36,synthetic,IAB16 Pets
thousands dogs 3 people sickened jerky pet treats fda says,,0.36,natural,IAB16 Pets
google brings pokémon google maps,,0.36,natural,IAB16 Pets
back dead pcs grow 2015,,0.36,natural,IAB16 Pets
pokemon google maps hoax plays emotions,,0.36,natural,IAB16 Pets
pikettys gold,,0.36,natural,IAB16 Pets
shes hello kitty course shes cat effing kidding,,0.36,natural,IAB16 Pets
harbinger bid 11 billion central garden pet,,0.36,natural,IAB16 Pets
miley cyrus torn new pup moonie floyds death,,0.35,natural,IAB16 Pets
david cameron stop cheerleader pfizers astrazeneca,,0.35,natural,IAB16 Pets
miley cyrus tattoo inner lip sad yellow kitty,,0.35,natural,IAB16 Pets
peeps movie going happen hollywood optioning candy,,0.35,natural,IAB16 Pets
could watch dogs smart city ever become reality,,0.35,natural,IAB16 Pets
cyruss new tattoo pays tribute late dog,,0.35,natural,IAB16 Pets
giant panda fakes pregnant,,0.35,natural,IAB16 Pets
monty python live o2,,0.35,natural,IAB16 Pets
paltrow wanted keep pretend marriage,,0.35,natural,IAB16 Pets
another dog ate email story,,0.35,natural,IAB16 Pets
pfizer continues political campaign astrazeneca takeover,,0.35,natural,IAB16 Pets
pf changs confirms data breach,,0.35,natural,IAB16 Pets
pistorius murder trial continues,,0.35,natural,IAB16 Pets
pfizer keen engage astrazeneca board,,0.35,natural,IAB16 Pets
Here are some future possibilities for the world of dogs:,,0.35,synthetic,IAB16 Pets
Here are some current trends in the world of dogs:,,0.35,synthetic,IAB16 Pets
cable keeping options open pfizer,,0.35,natural,IAB16 Pets
"Birds have been kept as pets for centuries, with evidence of their domestication dating back to ancient Egypt.",,0.35,synthetic,IAB16 Pets
interview twitch talks miss piggy muppets wanted,,0.35,natural,IAB16 Pets
pandora already past prime,,0.35,natural,IAB16 Pets
rescued baby goat wheelchair feels,,0.35,natural,IAB16 Pets
story casey kasems dog named snuggles clip,,0.35,natural,IAB16 Pets
sickened foster farms chicken,,0.35,natural,IAB16 Pets
miley cyrus gives puppy tweeting soon death beloved dog,,0.35,natural,IAB16 Pets
mickey rooney dies,,0.35,natural,IAB16 Pets
fda continues investigate toxic jerky pet treats,,0.34,natural,IAB16 Pets
pokemon omega ruby alpha sapphire coming 3ds november,,0.34,natural,IAB16 Pets
end road pfizers astrazeneca bid,,0.34,natural,IAB16 Pets
vets watch insurgents undo sacrifices iraq,,0.34,natural,IAB16 Pets
dancing stars peta murgatroyd explains brooke burke charvets exit,,0.34,natural,IAB16 Pets
veep season 3 review alicia,,0.34,natural,IAB16 Pets
pikettys theory flawed paper,,0.34,natural,IAB16 Pets
miss piggy talks muppets wanted,,0.34,natural,IAB16 Pets
james maslow peta murgatroyd freestyle dancing stars 18,,0.34,natural,IAB16 Pets
astrazeneca escaped pfizers clutches time,,0.34,natural,IAB16 Pets
parrot launches phonecontrolled drones,,0.34,natural,IAB16 Pets
predictingthepalmed27oraguessinggame,,0.34,natural,IAB16 Pets
local veterinarian advises pet owners chinese made pet treats,,0.34,natural,IAB16 Pets
dog treat may linked 1000 dog deaths,,0.34,natural,IAB16 Pets
astrazeneca sets pfizer defense 3rd update,,0.34,natural,IAB16 Pets
hello kitty british girl cat,,0.34,natural,IAB16 Pets
pippas insignificant bridesmaids dress,,0.34,natural,IAB16 Pets
"However, there are also some controversies surrounding dogs.",,0.34,synthetic,IAB16 Pets
paltrow still wears wedding ring,,0.34,natural,IAB16 Pets
consumer alert petsmart stop selling pet treats made china,,0.34,natural,IAB16 Pets
miley cyrus honors dead pooch tribute tattoo,,0.34,natural,IAB16 Pets
surveillance cam catches puppy dumped street,,0.34,natural,IAB16 Pets
miley cyrus rails medication since death dog,,0.34,natural,IAB16 Pets
watch dogs review see,,0.34,natural,IAB16 Pets
review muppets wanted 4 stars,,0.34,natural,IAB16 Pets
watch dogs handson preview,,0.34,natural,IAB16 Pets
pew experts fear internet freedom hampered governments,,0.34,natural,IAB16 Pets
game thrones season 4 sophie turner calls petyr baelish bit pedo,,0.34,natural,IAB16 Pets
pistorius mentally ill girlfriend killed,,0.33,natural,IAB16 Pets
pesky flies use fighter jet manoeuvres,,0.33,natural,IAB16 Pets
watch dogs window reflects completely wrong environment,,0.33,natural,IAB16 Pets
